Date : 2024-11-14 17:18:59
Directory : /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project
Total : 247 files,  40754 codes, 45772 comments, 10845 blanks, all 97371 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        244 |     40,479 |     45,738 |     10,778 |     96,995 |
| Makefile |          3 |        275 |         34 |         67 |        376 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/pros/rtos.hpp                                                | C++      |        151 |      1,371 |         59 |      1,581 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/pros/screen.h                                                | C++      |         88 |        658 |         46 |        792 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/pros/screen.hpp                                              | C++      |         54 |        624 |         40 |        718 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/pros/serial.h                                                | C++      |         25 |        365 |         20 |        410 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/pros/serial.hpp                                              | C++      |         26 |        301 |         18 |        345 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/pros/vision.h                                                | C++      |         95 |        713 |         44 |        852 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/pros/vision.hpp                                              | C++      |         51 |        707 |         30 |        788 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/robodash/api.h                                               | C++      |         24 |          8 |         11 |         43 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/robodash/apix.h                                              | C++      |          5 |         13 |          2 |         20 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/robodash/core.h                                              | C++      |         22 |         64 |         16 |        102 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/robodash/impl/assets.h                                       | C++      |         10 |          5 |          5 |         20 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/robodash/impl/filesystem.h                                   | C++      |          8 |          5 |          5 |         18 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/robodash/impl/styles.h                                       | C++      |         51 |         12 |         25 |         88 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/robodash/views/console.hpp                                   | C++      |         25 |         48 |         14 |         87 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/robodash/views/image.hpp                                     | C++      |         13 |         41 |         11 |         65 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/robodash/views/selector.hpp                                  | C++      |         31 |         38 |         17 |         86 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/usr/autons.h                                                 | C++      |         23 |          2 |          1 |         26 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/usr/logging.h                                                | C++      |         32 |          1 |         14 |         47 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/usr/robot.h                                                  | C++      |         99 |          5 |         12 |        116 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/include/usr/utils.h                                                  | C++      |          5 |          0 |          2 |          7 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/src/autons.cpp                                                       | C++      |        234 |         40 |         12 |        286 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/src/main.cpp                                                         | C++      |         55 |         65 |         11 |        131 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/src/robotConfig/Inits.cpp                                            | C++      |         44 |          0 |         10 |         54 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/src/robotConfig/Tuning.cpp                                           | C++      |        131 |          0 |         12 |        143 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/src/robotConfig/globals.cpp                                          | C++      |         89 |          3 |         10 |        102 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/src/robotConfig/robotActions.cpp                                     | C++      |         90 |          0 |          6 |         96 |
| /Users/danieldew/Documents/GitHub/High-Stakes-Code/Main-Project/src/utils.cpp                                                        | C++      |         22 |          0 |          9 |         31 |
| Total                                                                                                                                |          |     40,754 |     45,772 |     10,845 |     97,371 |
+--------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
